"Event";"Round";"Heat";"Date";"Hour";"Wind";"Temp";"File";"Official"
   2;   1;   1;"   22.02.2025";" 10:29:35.3378";"       N/A";"       N/A";" ";"Official";
   3;   1;   1;"   22.02.2025";" 10:35:08.8406";"       N/A";"       N/A";" ";"Official";
   5;   1;   1;"   22.02.2025";" 10:48:43.3539";"       N/A";"       N/A";" ";"Official";
   5;   1;   2;"   22.02.2025";" 10:51:48.9810";"       N/A";"       N/A";" ";"Official";
   5;   1;   3;"   22.02.2025";" 10:54:23.1831";"       N/A";"       N/A";" ";"Official";
   7;   1;   1;"   22.02.2025";" 11:17:49.4852";"       N/A";"       N/A";" ";"        ";
   7;   1;   2;"   22.02.2025";" 11:25:13.0720";"       N/A";"       N/A";" ";"        ";
   8;   1;   1;"   22.02.2025";" 11:33:26.3818";"       N/A";"       N/A";" ";"        ";
   8;   1;   2;"   22.02.2025";" 11:37:56.8955";"       N/A";"       N/A";" ";"        ";
   9;   1;   1;"   22.02.2025";" 11:48:41.7791";"       N/A";"       N/A";" ";"        ";
   0;   0;  10;"   22.02.2025";" 11:56:37.9342";"       N/A";"       N/A";" ";"Official";
   9;   1;   2;"   22.02.2025";" 11:59:22.7428";"       N/A";"       N/A";" ";"        ";
   9;   1;   3;"   22.02.2025";" 12:02:10.9339";"       N/A";"       N/A";" ";"        ";
  10;   1;   1;"   22.02.2025";" 12:11:43.2908";"       N/A";"       N/A";" ";"        ";
  10;   1;   2;"   22.02.2025";" 12:15:40.7353";"       N/A";"       N/A";" ";"        ";
  10;   1;   3;"   22.02.2025";" 12:18:54.1357";"       N/A";"       N/A";" ";"        ";
  10;   1;   4;"   22.02.2025";" 12:22:03.8944";"       N/A";"       N/A";" ";"        ";
  10;   1;   5;"   22.02.2025";" 12:26:03.8004";"       N/A";"       N/A";" ";"        ";
  11;   1;   1;"   22.02.2025";" 12:30:01.3342";"       N/A";"       N/A";" ";"        ";
  11;   1;   2;"   22.02.2025";" 12:33:55.3892";"       N/A";"       N/A";" ";"        ";
  12;   1;   1;"   22.02.2025";" 12:41:14.3757";"       N/A";"       N/A";" ";"        ";
  12;   1;   2;"   22.02.2025";" 12:45:14.6730";"       N/A";"       N/A";" ";"        ";
  12;   1;   3;"   22.02.2025";" 12:48:05.7709";"       N/A";"       N/A";" ";"        ";
  12;   1;   4;"   22.02.2025";" 12:51:34.7577";"       N/A";"       N/A";" ";"        ";
   9;   2;   1;"   22.02.2025";" 12:57:32.9388";"       N/A";"       N/A";" ";"        ";
  31;   1;   1;"   22.02.2025";" 13:00:22.3697";"       N/A";"       N/A";" ";"        ";
  10;   2;   2;"   22.02.2025";" 13:06:01.1896";"       N/A";"       N/A";" ";"        ";
  10;   2;   1;"   22.02.2025";" 13:09:26.3119";"       N/A";"       N/A";" ";"        ";
  11;   2;   1;"   22.02.2025";" 13:16:29.9235";"       N/A";"       N/A";" ";"        ";
  32;   1;   1;"   22.02.2025";" 13:23:02.7463";"       N/A";"       N/A";" ";"        ";
  12;   2;   2;"   22.02.2025";" 13:34:09.3247";"       N/A";"       N/A";" ";"        ";
  12;   2;   1;"   22.02.2025";" 13:39:11.9318";"       N/A";"       N/A";" ";"        ";
  13;   1;   1;"   22.02.2025";" 14:19:13.8372";"       N/A";"       N/A";" ";"        ";
  14;   1;   1;"   22.02.2025";" 14:24:00.1887";"       N/A";"       N/A";" ";"Official";
   4;   1;   1;"   22.02.2025";" 10:41:27.0193";"       N/A";"       N/A";" ";"Official";
  14;   1;   2;"   22.02.2025";" 14:28:20.4819";"       N/A";"       N/A";" ";"        ";
  14;   1;   3;"   22.02.2025";" 14:33:17.6887";"       N/A";"       N/A";" ";"        ";
  15;   1;   1;"   22.02.2025";" 14:38:12.7775";"       N/A";"       N/A";" ";"        ";
  15;   1;   2;"   22.02.2025";" 14:42:35.3619";"       N/A";"       N/A";" ";"Official";
  16;   1;   1;"   22.02.2025";" 14:50:35.7540";"       N/A";"       N/A";" ";"        ";
  16;   1;   2;"   22.02.2025";" 14:55:02.6908";"       N/A";"       N/A";" ";"        ";
  16;   1;   3;"   22.02.2025";" 14:59:16.2678";"       N/A";"       N/A";" ";"        ";
  17;   1;   1;"   22.02.2025";" 15:09:12.0882";"       N/A";"       N/A";" ";"        ";
  17;   1;   2;"   22.02.2025";" 15:12:36.5868";"       N/A";"       N/A";" ";"        ";
  17;   1;   3;"   22.02.2025";" 15:15:54.5945";"       N/A";"       N/A";" ";"        ";
  17;   1;   4;"   22.02.2025";" 15:19:28.9444";"       N/A";"       N/A";" ";"        ";
  18;   1;   1;"   22.02.2025";" 15:25:08.6885";"       N/A";"       N/A";" ";"        ";
  18;   1;   2;"   22.02.2025";" 15:29:00.3687";"       N/A";"       N/A";" ";"        ";
  18;   1;   3;"   22.02.2025";" 15:32:13.4620";"       N/A";"       N/A";" ";"        ";
  18;   1;   4;"   22.02.2025";" 15:35:37.3051";"       N/A";"       N/A";" ";"        ";
  18;   1;   5;"   22.02.2025";" 15:39:06.0162";"       N/A";"       N/A";" ";"        ";
  19;   1;   1;"   22.02.2025";" 15:58:06.8941";"       N/A";"       N/A";" ";"        ";
  20;   1;   1;"   22.02.2025";" 16:03:39.5700";"       N/A";"       N/A";" ";"        ";
  20;   1;   2;"   22.02.2025";" 16:07:17.2376";"       N/A";"       N/A";" ";"        ";
  20;   1;   3;"   22.02.2025";" 16:11:43.9610";"       N/A";"       N/A";" ";"        ";
  20;   1;   4;"   22.02.2025";" 16:15:44.7365";"       N/A";"       N/A";" ";"        ";
  20;   1;   5;"   22.02.2025";" 16:31:51.1789";"       N/A";"       N/A";" ";"        ";
  22;   1;   1;"   22.02.2025";" 16:38:40.0952";"       N/A";"       N/A";" ";"        ";
  24;   1;   1;"   22.02.2025";" 16:49:50.4000";"       N/A";"       N/A";" ";"        ";
  23;   1;   1;"   22.02.2025";" 16:56:28.0919";"       N/A";"       N/A";" ";"        ";
  26;   1;   1;"   22.02.2025";" 17:02:37.0179";"       N/A";"       N/A";" ";"        ";
  25;   1;   1;"   22.02.2025";" 17:07:49.9097";"       N/A";"       N/A";" ";"Official";
  28;   1;   1;"   22.02.2025";" 17:25:32.6533";"       N/A";"       N/A";" ";"Official";
  29;   1;   1;"   22.02.2025";" 17:37:10.7546";"       N/A";"       N/A";" ";"        ";
