Event Code; Date; Time; Lane / order; Bib No; Name; First Name; Nation; Length; Title 1; Title 2; Sponsor; Record 1; Record 2; Record Code 1; Record Code 2; SCB text length; SCB category; SCB event; SCB heat; RSC code Record 3; Record Code 3; Athlete TV Name
03901001;22.06.2024;16:25;;;;;;400;"400m WJU20 - Zeitlauf 1";;;52.90;49.42;MR;WR;;;;;;;;
;;;3;20;"Krause-Jentsch";"Anouk";"GER | Neuköllner SF";;;;;;;;;;;;;;;;
;;;4;323;"Stöhr";"Suri";"AUT | Austria";;;;;;;;;;;;;;;;
;;;5;329;"Wübben";"Mieke";"GER | LG Emstal Dörpen";;;;;;;;;;;;;;;;
;;;6;159;"Ovens";"Holly";"GBR | Team Scottland";;;;;;;;;;;;;;;;
03901002;22.06.2024;16:30;;;;;;400;"400m WJU20 - Zeitlauf 2";;;52.90;49.42;MR;WR;;;;;;;;
;;;3;348;"Schüller";"Anna Lena";"GER | TSV Bayer o4 Leverkusen";;;;;;;;;;;;;;;;
;;;4;292;"Stückelberger";"Meret";"SUI | Switzerland";;;;;;;;;;;;;;;;
;;;5;338;"Adou";"Norah";"GER | ASC Düsseldorf";;;;;;;;;;;;;;;;
;;;6;13;"Singler";"Rebecca";"GER | TV Haslach";;;;;;;;;;;;;;;;
03901003;22.06.2024;16:35;;;;;;400;"400m WJU20 - Zeitlauf 3";;;52.90;49.42;MR;WR;;;;;;;;
;;;2;39;"Becker";"Anna";"GER | LG Stadtwerke München";;;;;;;;;;;;;;;;
;;;3;335;"Fischer";"Luna";"GER | VfL Eintracht Hannover";;;;;;;;;;;;;;;;
;;;4;152;"Kihuyu";"Nandy";"GBR | Great Britain";;;;;;;;;;;;;;;;
;;;5;182;"Zakharenko";"Maria";"IRL | Ireland";;;;;;;;;;;;;;;;
;;;6;237;"Borg";"Matilda";"SWE | Sweden";;;;;;;;;;;;;;;;
03901004;22.06.2024;16:40;;;;;;400;"400m WJU20 - Zeitlauf 4";;;52.90;49.42;MR;WR;;;;;;;;
;;;2;144;"Grieve";"Rebecca";"GBR | Team Scottland";;;;;;;;;;;;;;;;
;;;3;149;"Holmes";"Emma";"GBR | Great Britain";;;;;;;;;;;;;;;;
;;;4;325;"Richter";"Pauline";"GER | 1. LAV Rostock";;;;;;;;;;;;;;;;
;;;5;217;"Kristiansen";"Camilla Dahl";"NOR | Norway";;;;;;;;;;;;;;;;
;;;6;133;"Astill";"Jessica";"GBR | Great Britain";;;;;;;;;;;;;;;;
03901005;22.06.2024;16:45;;;;;;400;"400m WJU20 - Zeitlauf 5";;;52.90;49.42;MR;WR;;;;;;;;
;;;2;209;"Al-Saiddi";"Line";"NOR | Norway";;;;;;;;;;;;;;;;
;;;3;310;"Vermeulen";"Chane";"RSA | South Africa";;;;;;;;;;;;;;;;
;;;4;147;"Henrich";"Charlotte";"GBR | Great Britain";;;;;;;;;;;;;;;;
;;;5;140;"Dacosta";"Kara";"GBR | Great Britain";;;;;;;;;;;;;;;;
;;;6;308;"Scheepers";"Colene";"RSA | South Africa";;;;;;;;;;;;;;;;
02702002;22.06.2024;16:50;;;;;;100;"100m MJU20 - B Finale";;;10.16;9.91;MR;WR;;;;;;;;
;;;1;163;"Voss";"Rory";"GBR | Team Scottland";;;;;;;;;;;;;;;;
;;;2;287;"Ray";"Kevin";"SUI | Switzerland";;;;;;;;;;;;;;;;
;;;3;314;"Kravets";"Dmytro";"UKR | Ukraine";;;;;;;;;;;;;;;;
;;;4;77;"Schulze";"Felix";"GER | Hamburger SV";;;;;;;;;;;;;;;;
;;;5;178;"Osas";"Osamudiamen Jesse";"IRL | Ireland";;;;;;;;;;;;;;;;
;;;6;340;"Müller";"Noah";"GER | Cologne Athletics";;;;;;;;;;;;;;;;
02702001;22.06.2024;16:53;;;;;;100;"100m MJU20 - A Finale";;;10.16;9.91;MR;WR;;;;;;;;
;;;1;225;"Landim";"David";"POR | Portugal";;;;;;;;;;;;;;;;
;;;2;97;"Jensen";"Valentin";"DEN | Denmark";;;;;;;;;;;;;;;;
;;;3;54;"Kemminer";"Jakob";"GER | TSV Ochenbruck";;;;;;;;;;;;;;;;
;;;4;192;"Dambrauskas";"Adas";"LTU | Lithuania";;;;;;;;;;;;;;;;
;;;5;274;"Gou Gomez";"Jonathan";"SUI | Switzerland";;;;;;;;;;;;;;;;
;;;6;93;"Henrique Dionisio";"Wesles";"BRA | Brazil";;;;;;;;;;;;;;;;
03202002;22.06.2024;17:00;;;;;;100;"100m WJU20 - B Finale";;;11.14;10.88;MR;WR;;;;;;;;
;;;1;384;"Kaczmarek";"Hannah";"GER | SV Halle";;;;;;;;;;;;;;;;
;;;2;95;"Sena";"Vanessa";"BRA | Brazil";;;;;;;;;;;;;;;;
;;;3;360;"Helios";"Ksenia";"GER | SV GO! Saar 05";;;;;;;;;;;;;;;;
;;;4;23;"Schwartz";"Philina";"GER | SC Berlin";;;;;;;;;;;;;;;;
;;;5;322;"Stadler";"Katharina";"AUT | Austria";;;;;;;;;;;;;;;;
;;;6;166;"Akpe-Moses";"Precious";"IRL | Ireland";;;;;;;;;;;;;;;;
03202001;22.06.2024;17:05;;;;;;100;"100m WJU20 - A Finale";;;11.14;10.88;MR;WR;;;;;;;;
;;;1;372;"Riedel";"Charlotte";"GER | SC DHfK Leipzig e.V.";;;;;;;;;;;;;;;;
;;;2;284;"Rabac";"Chloé";"SUI | Switzerland";;;;;;;;;;;;;;;;
;;;3;370;"Kimuanga";"Sherin";"GER | SC DHfK Leipzig e.V.";;;;;;;;;;;;;;;;
;;;4;379;"Kadiri";"Chelsea";"GER | Sportclub Magdeburg e.V.";;;;;;;;;;;;;;;;
;;;5;31;"Just";"Annika";"GER | LAC Passau";;;;;;;;;;;;;;;;
;;;6;106;"Ott";"Miia";"EST | Estonia";;;;;;;;;;;;;;;;
04101001;22.06.2024;17:15;;;;;;1500;"1500m WJU20 - Zeitlauf";;;4:10.20;3:51.34;MR;WR;;;;;;;;
;;;1;49;"Hanselmann";"Leni";"GER | MTV 1881 Ingolstadt";;;;;;;;;;;;;;;;
;;;2;285;"Rahm";"Malin";"SUI | LG farbtex Nordschwarzwald";;;;;;;;;;;;;;;;
;;;3;236;"Bjerström";"Freja";"SWE | Sweden";;;;;;;;;;;;;;;;
;;;4;315;"Glaser";"Marie";"AUT | Austria";;;;;;;;;;;;;;;;
;;;5;354;"Schinke";"Katharina";"GER | TSV SCHOTT Mainz";;;;;;;;;;;;;;;;
;;;6;397;"Ehrle";"Julia";"GER | LG farbtex Nordschwarzwald";;;;;;;;;;;;;;;;
;;;7;336;"Miller";"Lera";"GER | VfL Löningen";;;;;;;;;;;;;;;;
